year,mean_mass
1977,42.666666666666664
1978,45
1979,45.86206896551724
1980,48.05882352941177
1981,49.111111111111114
1982,47.919642857142854
1983,47.15060240963855
1984,48.41509433962264
1985,47.95673076923077
1986,49.372727272727275
1987,50.0873786407767
1988,51.46376811594203
1989,51.02564102564103
1990,48.51204819277108
1991,49.69565217391305
1992,48.367816091954026
1993,48.46153846153846
1994,47.75
1995,49.592592592592595
1996,47.234939759036145
1997,48.17786561264822
1998,49.73118279569893
1999,48.01204819277108
2000,49.2247191011236
2001,52.23376623376623
2002,49.51440329218107
